2010-12-28 13:10:55 Notice: Notice (8): Use of undefined constant i - assumed 'i' in [/Users/finngrimwood/Sites/MB/app/views/elements/menu.ctp, line 22]
2010-12-28 13:33:22 Notice: Notice (8): Undefined index: ParentLink in [/Users/finngrimwood/Sites/MB/app/views/links/index.ctp, line 30]
2010-12-28 13:34:17 Notice: Notice (8): Undefined index: ParentLink in [/Users/finngrimwood/Sites/MB/app/views/links/index.ctp, line 30]
2010-12-28 13:34:46 Notice: Notice (8): Undefined index: ParentLink in [/Users/finngrimwood/Sites/MB/app/views/links/index.ctp, line 30]
2010-12-28 13:35:53 Notice: Notice (8): Undefined index: ParentLink in [/Users/finngrimwood/Sites/MB/app/views/links/index.ctp, line 30]
2010-12-28 13:36:04 Notice: Notice (8): Undefined index: ParentLink in [/Users/finngrimwood/Sites/MB/app/views/links/index.ctp, line 30]
2010-12-28 17:27:39 Notice: Notice (8): Undefined variable: menuData in [/Users/finngrimwood/Sites/MB/app/views/layouts/default.ctp, line 19]
2010-12-28 17:27:58 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 71]
2010-12-28 17:27:58 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 72]
2010-12-28 17:27:58 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 73]
2010-12-28 17:27:58 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 74]
2010-12-28 17:27:58 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 75]
2010-12-28 17:27:58 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 76]
2010-12-28 17:27:58 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 78]
2010-12-28 17:27:58 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 79]
2010-12-28 17:27:58 Notice: Notice (8): Uninitialized string offset: 0 in [/Users/finngrimwood/Sites/MB/app/views/links/view.ctp, line 80]
